
2025/03/26 (00:36:38) | ===> btop++ v.1.4.0
2025/03/26 (00:36:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (00:36:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (00:36:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (00:37:54) | ===> btop++ v.1.4.0
2025/03/26 (00:37:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (00:37:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (00:37:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:00:05) | ===> btop++ v.1.4.0
2025/03/26 (01:00:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (01:00:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (01:00:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:38:56) | ===> btop++ v.1.4.0
2025/03/26 (01:38:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (01:38:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (01:38:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:50:58) | ===> btop++ v.1.4.0
2025/03/26 (01:50:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (01:50:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (01:50:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:51:17) | ===> btop++ v.1.4.0
2025/03/26 (01:51:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (01:51:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (01:51:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (18:46:05) | ===> btop++ v.1.4.0
2025/03/26 (18:46:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (19:04:02) | ===> btop++ v.1.4.0
2025/03/26 (19:04:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (19:04:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (19:04:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (19:08:35) | ===> btop++ v.1.4.0
2025/03/26 (19:08:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (19:08:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (19:08:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (19:33:18) | ===> btop++ v.1.4.0
2025/03/26 (19:33:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (19:33:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (19:33:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (19:34:59) | ===> btop++ v.1.4.0
2025/03/26 (19:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (19:34:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (19:34:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (19:40:31) | ===> btop++ v.1.4.0
2025/03/26 (19:40:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (19:40:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (19:40:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (00:13:02) | ===> btop++ v.1.4.0
2025/03/28 (00:13:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (00:13:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (00:13:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (00:22:01) | ===> btop++ v.1.4.0
2025/03/28 (00:22:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (00:22:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (00:22:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (00:53:07) | ===> btop++ v.1.4.0
2025/03/28 (00:53:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (00:53:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (00:53:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (00:56:45) | ===> btop++ v.1.4.0
2025/03/28 (00:56:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (00:56:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (00:56:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/28 (00:57:39) | ERROR: Exception in main loop -> unordered_map::at

2025/03/28 (00:58:07) | ===> btop++ v.1.4.0
2025/03/28 (00:58:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (00:58:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (00:58:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:47:07) | ===> btop++ v.1.4.0
2025/03/31 (15:47:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (15:47:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (15:47:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (16:18:20) | ===> btop++ v.1.4.0
2025/03/31 (16:18:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (16:18:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (16:18:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (16:18:41) | ===> btop++ v.1.4.0
2025/03/31 (16:18:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (16:18:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (16:18:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (18:07:07) | ===> btop++ v.1.4.0
2025/03/31 (18:07:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (18:07:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (18:07:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (19:22:43) | ===> btop++ v.1.4.0
2025/03/31 (19:22:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (19:22:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (19:22:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (19:22:55) | ===> btop++ v.1.4.0
2025/03/31 (19:22:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (19:22:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (19:22:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (19:53:58) | ===> btop++ v.1.4.0
2025/03/31 (19:53:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (19:53:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (19:53:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (22:44:31) | ===> btop++ v.1.4.0
2025/03/31 (22:44:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/31 (22:44:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/31 (22:44:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (23:34:23) | ===> btop++ v.1.4.0
2025/04/03 (23:34:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/03 (23:34:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/03 (23:34:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:22:38) | ===> btop++ v.1.4.0
2025/04/07 (22:22:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/07 (22:22:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/07 (22:22:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (18:15:47) | ===> btop++ v.1.4.0
2025/04/15 (18:15:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/15 (18:15:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/15 (18:15:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (21:44:01) | ===> btop++ v.1.4.0
2025/04/15 (21:44:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/15 (21:44:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/15 (21:44:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (17:31:46) | ===> btop++ v.1.4.0
2025/04/16 (17:31:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/16 (17:31:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/16 (17:31:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (19:55:51) | ===> btop++ v.1.4.0
2025/04/17 (19:55:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/17 (19:55:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/17 (19:55:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (18:23:11) | ===> btop++ v.1.4.0
2025/04/23 (18:23:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (18:23:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/23 (18:23:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (19:08:35) | ===> btop++ v.1.4.0
2025/04/23 (19:08:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (19:08:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/23 (19:08:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (22:32:44) | ===> btop++ v.1.4.0
2025/04/23 (22:32:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (22:32:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/23 (22:32:44) | WARNING: Intel GPU: Failed to initialize PMU
